artista,termo_trends,wiki_en_titulo,wiki_en_views_90d,trends_Brasil,trends_Estados Unidos,trends_Reino Unido,trends_França,trends_Alemanha,trends_Itália,trends_Espanha,trends_Portugal,trends_proxy_pct_US,trends_proxy_pct_Europa_6,trends_proxy_pct_BR_vs_US_BR,trends_proxy_pct_US_vs_BR_US
Tiago Iorc,Tiago Iorc,Tiago Iorc,1338,100.0,1.0,1.0,1.0,0.0,1.0,1.0,17.0,4.55,95.47,99.01,0.99
Marisa Monte,Marisa Monte,Marisa Monte,5210,100.0,1.0,0.0,1.0,1.0,1.0,1.0,22.0,3.7,96.28,99.01,0.99
Djavan,Djavan,Djavan,6153,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,100.0,0.0
Carlinhos Brown,Carlinhos Brown,Carlinhos Brown,4829,100.0,1.0,1.0,2.0,1.0,2.0,16.0,20.0,2.33,97.68,99.01,0.99
Júnior (futebol),Júnior comentarista Globo,"Júnior (footballer, born 1973)",2013,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Samuel Rosa,Samuel Rosa,Samuel Rosa,81,69.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,7.69,92.29,98.57,1.43
Bebel Gilberto,Bebel Gilberto,Bebel Gilberto,11572,34.0,4.0,3.0,8.0,3.0,4.0,5.0,25.0,7.69,92.31,89.47,10.53
Seu Jorge,Seu Jorge,Seu Jorge,21283,100.0,1.0,1.0,4.0,1.0,1.0,3.0,97.0,0.93,99.08,99.01,0.99
Liniker,Liniker,Liniker,5729,100.0,1.0,8.0,1.0,1.0,1.0,2.0,37.0,1.96,98.04,99.01,0.99
Zeca Pagodinho,Zeca Pagodinho,Zeca Pagodinho,1944,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,100.0,0.0
